id,current,power,resistance,reactance,susceptance,rateA,rateB,rateC,ratio,angle,angmin,angmax
35,0,0,0,0,0,0,0,0,0,0,0,0
36,4.82240220644232,4.82240220644232,0.0302,0.0641,0.0124,0,0,0,0,0,-360,360
37,9.84063800502462,-9.84063800502462,0.0302,0.0641,0.0124,0,0,0,0,0,-360,360
38,9.84063800502451,-9.84063800502451,0.0277,0.1262,0.0328,0,0,0,0,0,-360,360
39,19.1406380050246,-19.1406380050246,0.0223,0.0732,0.0188,0,0,0,0,0,-360,360
40,23.7406380050246,-23.7406380050246,0.0178,0.058,0.0604,0,0,0,0,0,-360,360
41,58.5387218964521,58.5387218964521,0.0099,0.0505,0.0548,0,0,0,0,0,-360,360
42,3.54063800502442,3.54063800502442,0.0139,0.0712,0.0194,0,0,0,0,0,-360,360
43,0.0593619949755486,-0.0593619949755486,0.0397,0.179,0.0476,0,0,0,0,0,-360,360
44,5.85936199497554,-5.85936199497554,0.0171,0.0547,0.0148,0,0,0,0,0,-360,360
45,3.80000000000003,3.80000000000003,0.461,0.685,0,0,0,0,0,0,-360,360
46,11.2593619949753,11.2593619949753,0,1.23,0,0,0,0,1,0,-360,360
47,11.2593619949754,-11.2593619949754,0,1.23,0,0,0,0,1,0,-360,360
48,17.2593619949753,-17.2593619949753,0,0.0473,0,0,0,0,1.043,0,-360,360
49,24.6950991887017,-24.6950991887017,0.165,0.254,0,0,0,0,0,0,-360,360
50,31.7715245056434,-31.7715245056434,0.0618,0.0954,0,0,0,0,0,0,-360,360
51,7.07642531694148,7.07642531694148,0.0618,0.0954,0,0,0,0,0,0,-360,360
52,7.43573719372614,7.43573719372614,0.165,0.254,0,0,0,0,0,0,-360,360
53,0,0,0,0,0,0,0,0,0,0,0,0
54,6.01280911755145,6.01280911755145,0.0481,0.158,0.0406,0,0,0,0,0,-360,360
55,5.01579504513414,5.01579504513414,0.326,0.497,0,0,0,0,0,0,-360,360
56,7.17502837178058,-7.17502837178058,0.326,0.497,0,0,0,0,0,0,-360,360
57,29.9311595396603,-29.9311595396603,0.0418,0.0587,0,0,0,0,0,0,-360,360
58,41.9311595396603,41.9311595396603,0.0454,0.206,0.0546,0,0,0,0,0,-360,360
59,45.4432614335212,45.4432614335212,0.0178,0.091,0.0988,0,0,0,0,0,-360,360
60,45.4432614335212,45.4432614335212,0.043,0.0537,0.0016,0,0,0,0,0,-360,360
61,15.7432614335214,15.7432614335214,0.029,0.0366,0,0,0,0,0,0,-360,360
62,0,0,0.0651,0.1009,0.002,0,0,0,0,0,-360,360
63,20.1062662329494,20.1062662329494,0.0239,0.0379,0,0,0,0,0,0,-360,360
64,0.893733767050597,-0.893733767050597,0.03,0.0466,0,0,0,0,0,0,-360,360
65,18.8937337670508,18.8937337670508,0.0648,0.295,0.0772,0,0,0,0,0,-360,360
66,38.203369765411,38.203369765411,0.0269,0.0869,0.023,0,0,0,0,0,-360,360
67,17.7980838914277,17.7980838914277,0.018,0.0813,0.0216,0,0,0,0,0,-360,360
68,12.8980838914276,12.8980838914276,0.207,0.352,0,0,0,0,0,0,-360,360
69,7.10191610857238,-7.10191610857238,0,0.412,0,0,0,0,0,0,-360,360
70,11.2019161085724,-11.2019161085724,0.0289,0.0585,0.002,0,0,0,0,0,-360,360
71,9.17502837178064,9.17502837178064,0.0481,0.158,0.0406,0,0,0,0,0,-360,360
72,41.9311595396602,-41.9311595396602,0,0.953,0,0,0,0,0.975,0,-360,360
73,7.43573719372619,7.43573719372619,0.135,0.202,0,0,0,0,0,0,-360,360
74,1.87204244419799,-1.87204244419799,0,0.0735,0,0,0,0,0.9,0,-360,360
75,2.08420495486588,2.08420495486588,0,0.0735,0,0,0,0,0.9,0,-360,360
76,7.0764253169417,7.0764253169417,0,0.0648,0,0,0,0,0.967,0,-360,360
77,0.376425316941686,0.376425316941686,0.023,0.068,0.0032,0,0,0,0,0,-360,360
78,0.0971035324616176,-0.0971035324616176,0.0418,0.0587,0,0,0,0,0,0,-360,360
79,15.7432614335212,-15.7432614335212,0.0418,0.0587,0,0,0,0,0,0,-360,360
80,18.0019161085723,18.0019161085723,0.0258,0.0848,0.0218,0,0,0,0,0,-360,360


